S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
1,Eminem Best Playlist,https://www.youtube.com/watch?v=j5-yKhDd64s&list=PL7E436F1EC114B001,Nick Gibson,https://www.youtube.com/user/nickgib3
2,eminem playlist,https://www.youtube.com/watch?v=uelHwf8o7_U&list=PLC40CE70DA3015A4E,vdh20th,https://www.youtube.com/user/vdh20th
3,Every Eminem Song,https://www.youtube.com/watch?v=j5-yKhDd64s&list=PL813690032BF2CE3C,C0d0ps,https://www.youtube.com/user/C0d0ps
4,Eminem - Music to be Murdered by (Full Album),https://www.youtube.com/watch?v=hlFOLS7vKaQ&list=PLaZcYAgpdq2Mt2DvCTfZwx2yA3-3c8cuq,Meto,https://www.youtube.com/c/HipHopMilitan%C4%B1HHM
5,Eminem - Music To Be Murdered By [Official Audio],https://www.youtube.com/watch?v=hlFOLS7vKaQ&list=PLN1mxegxWPd3d8jItTyrAxwm-iq-KrM-e,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
6,Eminem - The Marshall Mathers LP (2000),https://www.youtube.com/watch?v=kBFYjIuFKO4&list=PLQeroY7XkiFE_RbmlqM6yUknKoEhY3TYI,The Real G Music TV,https://www.youtube.com/c/TheRealGMusicTV
7,Presenting Eminem,https://www.youtube.com/watch?v=27Nu5X8S4fI&list=RDCLAK5uy_nnk58Y3rT4Y62vuYUvGpWGjxL9wsb10uI&start_radio=1,YouTube Music,https://www.youtube.com/music
8,Eminem kamikaze (full Album 2018 explicit),https://www.youtube.com/watch?v=c2AhsySa-8E&list=PLLvJ2C2ZIgD-ST3X-69t6L3cVOgW0HdOg,Chris Tiger Harris,https://www.youtube.com/c/ChrisTigerHarris
9,Grandes Exitos - Eminem,https://www.youtube.com/watch?v=YVkUvmDQ3HY&list=PLFA820C148DBAF12D,Fernando Fabian Flores Basualto,https://www.youtube.com/user/basualtotj
10,Eminem - MUSIC TO BE MURDERED BY,https://www.youtube.com/watch?v=MHZGOJ1kysc&list=PLScid7yGHOjZ4MNT4S66r-KGnRfAeC-Oz,HipHop Sounds,https://www.youtube.com/c/HipHopSoundsOfficial
11,Eminem Encore (Full Album),https://www.youtube.com/watch?v=UH9wVUjXG4c&list=PLCiM8YZKsSco0bTPniWH7oPJEFVmBDpR3,Jaimee Martin,https://www.youtube.com/channel/UCSr-rWvUszsyNZtBHKl_eQA
12,Eminem The Eminem Show Full Album,https://www.youtube.com/watch?v=P7YXsfuBlrc&list=PL6HdtK-ZQcnDWAMVIRXj-_bcBb0QxVQXf,Injustice King2017,https://www.youtube.com/channel/UCceOjR0FQb5rzrouJd0_cUQ
