S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
1,Every Elon Musk Interview,https://www.youtube.com/watch?v=afZTrfvB2AQ&list=PLXL7XzTych6Sk2wsxx2VMLk8okQIYJedo,Jan Häse,https://www.youtube.com/channel/UCmTZkXF8fgR4C4rtk_IpakQ
2,"Elon Musk.Elon Musk: SpaceX, Mars, Tesla Autopilot, Self-Driving, Robotics, and AI | Lex Fridman Podcast #252",https://www.youtube.com/watch?v=0xFjR051mNU&list=PLIsV31_mcpXpHLdSmhPP8YBhJYGUScAiH,Леонид Просвирнин,https://www.youtube.com/channel/UCPqp8VoD5_to9wRHi5rKH_g
3,FULL SEND PODCAST,https://www.youtube.com/watch?v=UeeEFDLaMYY&list=PLQ5r75vnJsmxa80-4nqzHDafYB5HfnIeM,FULL SEND PODCAST,https://www.youtube.com/c/FULLSENDPODCAST
4,Elon Musk podcast/interviews,https://www.youtube.com/watch?v=7jRGIGBpf7M&list=PL0Q0Pzrb9KuuVVRO72Kuus7LKhwlxEkXO,21st.wealth,https://www.youtube.com/channel/UCiu1Z865rTycWjqBAWKSCuA
5,Elon Musk Podcast,https://www.youtube.com/watch?v=whw68RfOI18&list=PLneQuyI_0jLkk0HOkDpy3YdQW5ugMDyxM,Full Send University,https://www.youtube.com/channel/UCIyJJOb-YpOYONpeYroLOIw
6,Elon musk podcast,https://www.youtube.com/watch?v=Ra3fv8gl6NE&list=PLezkfL5G587UFf6_3oYYy5F4pToSO_Qbb,Brendan Riordan,https://www.youtube.com/channel/UC2eCec_pu_17zAYua6nImkw
7,Elon Musk Interview,https://www.youtube.com/watch?v=YRvf00NooN8&list=PLy8ZZEz8d8L_KDWhCyO5pjj5bP8FnqYiH,Suraj Kumar,https://www.youtube.com/channel/UC0MPPIXh86RtWavbYSE1_eA
8,Elon Musk,https://www.youtube.com/watch?v=YRvf00NooN8&list=PLHBPbQhYW5p4zHxc20BI3WKCsXKSutpQx,satinder grewal,https://www.youtube.com/c/satindergrewal
9,ELON MUSK,https://www.youtube.com/watch?v=cdZZpaB2kDM&list=PLxJ2Y51P1tBKx5rrRdJQn27zjNkMnqD6q,sourabh bararia,https://www.youtube.com/user/shreejainsrijan
10,ELON MUSK/SPACEX,https://www.youtube.com/watch?v=ycPr5-27vSI&list=PLpharKXOEIMDpjb-3RV2_nN6JtPndJlpn,VocalCitizen,https://www.youtube.com/user/TheVocalCitizen
11,Elon Musk,https://www.youtube.com/watch?v=DaJ0n0j-UB8&list=PLO_-0_HuQmjHGZhzGuSXxYIMGvLJ3WaOg,Sad Man Smoking In Rain,https://www.youtube.com/channel/UCw1AICPWSRKwOgeQzMrnI2Q
12,Elon Musk Interview,https://www.youtube.com/watch?v=DxREm3s1scA&list=PLOhcXU7RrOwz8k1OIp5mGb5eR9ALg7nLV,Feureau,https://www.youtube.com/user/feureau
13,ELON MUSK TALKS,https://www.youtube.com/watch?v=A0Xie0-xUUU&list=PLsj0NCoGzU4yPBUclsansAk8PHGUZcb5q,JOTIM - DMT,https://www.youtube.com/channel/UCyHqq9hZ7zPLVNHKrrlpbOg
14,Elon Musk interviews,https://www.youtube.com/watch?v=xBKRuI2zHp0&list=PLu0O0vsECfUZ5tXheSEogw3EBxecRaKrB,Robert Burgman,https://www.youtube.com/channel/UC6CE6etInIbBt6kbKQ_h5ow
15,Interview with Joe Rogan and Elon Musk,https://www.youtube.com/watch?v=ycPr5-27vSI&list=PLUDpdI2_Nildj8DBle80kh4iI_fgJghEE,Florence Barcinas,https://www.youtube.com/channel/UC3cbYqd160O8UP_0vwp_2Sw
16,BingeWatch: Elon Musk,https://www.youtube.com/watch?v=h4vsjP_sKTo&list=PLtv8t1J7HfzZbBef6lVNmgEES_qn0D8ZY,Scott Ferreira,https://www.youtube.com/c/ScottFerreira
17,Elon Musk Interviews,https://www.youtube.com/watch?v=dEv99vxKjVI&list=PLfl0cKmtoTeGYC8F5sq2-4apzN_M6oAG-,Isaac Hubbell,https://www.youtube.com/channel/UCqTA_gJfHWlU6itbn8VPISw
18,Elon Musk Interview,https://www.youtube.com/watch?v=RcYjXbSJBN8&list=PLfBkv85k9MfVNdtEuiHFfhnzmiK2yxPMj,Young Way,https://www.youtube.com/channel/UCeUi-TRqx63nCcLVfdfG9DQ
19,Elon Musk,https://www.youtube.com/watch?v=dEv99vxKjVI&list=PLSWcf-s8GcCnCEqiqDtitNiNplifhxIqO,roddlez,https://www.youtube.com/user/roddlez
20,Elon Musk,https://www.youtube.com/watch?v=YAtLTLiqNwg&list=PLlXAGXMMgLT3jYPzm4dNsYOv1HrYoueEb,Xiaohua Xu,https://www.youtube.com/user/apollox0995
21,Funhaus Podcast,https://www.youtube.com/watch?v=Fu9XhfNamZc&list=PLbIc1971kgPCOz8lhASomd_pYdrPDnkg3,Funhaus,https://www.youtube.com/c/Funhaus
