S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
1,Cyber Security Tutorial In Hindi,https://www.youtube.com/watch?v=BS5v5Rr-oVo&list=PL-JvKqQx2AteIbm-z4X709scVr9OaHpIY,University Academy,https://www.youtube.com/c/UniversityAcademy
2,Cyber Attacks,https://www.youtube.com/watch?v=Q_sR7phqbyI&list=PLzGHKb8i9vTz-V5EEiTrabO141qcgXXXi,Al Jazeera English,https://www.youtube.com/c/aljazeeraenglish
3,Computer System Security Unit - 1,https://www.youtube.com/watch?v=ePuZp57d354&list=PL7PsohDKDrYQiTcBUAoDSH3gWo3T7zstS,Rudra Singh Rathore,https://www.youtube.com/channel/UCv7v2OoK5t4HHE6XDfFwbxg
4,Introduction to Cybersecurity Tools &amp; Cyber Attacks,https://www.youtube.com/watch?v=sTjxEoExW5k&list=PLp9WSxarsn_4YBl_5MeMhYOvUUdB53k_9,it support,https://www.youtube.com/channel/UCkSnZjKa_AO9AzafVSgNf7w
5,attacks on computers and computer security,https://www.youtube.com/watch?v=d30n-YxOHo4&list=PL0wXpxSD7pqVcAXuNQOj-ThxsjUs5pJGt,GCET Elearning,https://www.youtube.com/channel/UCh6ECsquUE54TdtF3bvQIGA
6,Cyber Attacks Explained,https://www.youtube.com/watch?v=_GzE99AmAQU&list=PLx1fuZDSaHKdnuuWvBaPw5Iml6JJ1cFG4,Silver Life-Changers,https://www.youtube.com/channel/UCnOGJeGTt2L6PkrJC4ua1eA
7,Cyber Attacks and Defense,https://www.youtube.com/watch?v=LXd2uP1qKDE&list=PLSNNzog5eyduYEO-6i6B0uShqjusETugo,Sunny Classroom,https://www.youtube.com/user/sunnylearning
8,Recent Cyber Attacks &amp; Data Breaches In 2022,https://www.youtube.com/watch?v=ta8aOUEGyLc&list=PLXXRE-F0fw2XVppL6w1g2f_m1h9Wy7rX8,PurpleSec,https://www.youtube.com/c/PurpleSec
9,Cyber Attacks Explained,https://www.youtube.com/watch?v=15OhSkY0izY&list=PL9XvJzA_62ORIK4AwzWAOIQ2ocbNIljWq,Encryption Consulting LLC,https://www.youtube.com/channel/UCPPGX-tH0btYWSFsgOYkLWA
10,Web Based Attacks in Cyber Security,https://www.youtube.com/watch?v=3TzLKJfDsNE&list=PL6pXC25EysecnNwOMZQHaPxItD-ibmff0,YMKT Hindi,https://www.youtube.com/channel/UC7LJbs72EExaomsKULtFhNw
11,Cryptography and network security,https://www.youtube.com/watch?v=9X1rSWLFhLY&list=PL9FuOtXibFjV77w2eyil4Xzp8eooqsPp8,Abhishek Sharma,https://www.youtube.com/c/AbhishekSharmaDit
12,Cryptography &amp; Network Security,https://www.youtube.com/watch?v=JoeiLuFNBc4&list=PLBlnK6fEyqRgJU3EsOYDTW7m6SUmW6kII,Neso Academy,https://www.youtube.com/c/nesoacademy
13,🇺🇸🚨🇮🇷 Iran Cyber attacks 💻📉⏳ against the 🇺🇸 U.S.A,https://www.youtube.com/watch?v=mAcx-6Fd0jk&list=PLe6D--vXuEk3-MKo2dDcEAH0kqm6QrLpz,Blue Mason Channel,https://www.youtube.com/channel/UCpn7k3auwgryxjgjekUijVw
14,Information And Cyber Security,https://www.youtube.com/watch?v=CrLRFn5O_F8&list=PLYwpaL_SFmcArHtWmbs_vXX6soTK3WEJw,5 Minutes Engineering,https://www.youtube.com/c/5MinutesEngineering
15,Cyber Attacks,https://www.youtube.com/watch?v=j6CJUQEKoSo&list=PLN_8Gx15Fl4SrITdoN8FEyIRmDZzSBou_,JAIALA Insurance Agency Inc,https://www.youtube.com/channel/UCkQe5f-C51skTybHQQjYXrw
16,Cyber Attack,https://www.youtube.com/watch?v=r-OG9UkFs9U&list=PLrghG0LHFtPZI6t6_3zPFBz3MceHd4qcK,Live Cyber Attack,https://www.youtube.com/channel/UCWILBB-wAhsbnKkabprKL8g
17,Cyber attack,https://www.youtube.com/watch?v=qnklKNcvPnw&list=PLVIhJ1e6S9WWw0izWay9QZw_m6x65ihEs,Arun Kumar,https://www.youtube.com/channel/UCrJG_wfX0jz0vgurjVt6LMg
18,Cyber: Threats/Attacks/Vuln,https://www.youtube.com/watch?v=moAT5dCYjsg&list=PLOpRYaE1N6wLyi2ABS3Cj0Fx5oC45_Gok,Muhammad Shahrukh,https://www.youtube.com/channel/UCZcY-bxGPrb28xmg4Jhv5IA
19,Cyber Security Principles,https://www.youtube.com/watch?v=J-B7JQIearU&list=PL8oRZVu1TnSIk_WIX-Gztgt2BAf31Y4IK,Vision Academy,https://www.youtube.com/c/VisionAcademyTutorials
20,Cyber Attack,https://www.youtube.com/watch?v=YuM5iCn_iKI&list=PLMKOXptMt0juVegV2XlYoGHCe6k_it83Q,Shehab El Refai • شهاب الرفاعي,https://www.youtube.com/user/shehab723
21,Cyber Health Tutorial Series,https://www.youtube.com/watch?v=6XbBZBoQh5w&list=PLyj5Le9WPjQ-kgnxgQDSwkjYK5zsJOyh6,Cyber Health,https://www.youtube.com/channel/UCJvygXxsSYB541TR_PcNZZg
22,TechBar Thursday Special,https://www.youtube.com/watch?v=2mgUFKU6tnY&list=PLMYDmB_aqcVbvnGd3Cv82FvhkHvAyxdx7,TechBar,https://www.youtube.com/c/TechBar
23,Cyber Security Crash Course: Incident Detection and Response,https://www.youtube.com/watch?v=VV_zYWpePuQ&list=PLkMjG1Mo4pKKJPx_mSWBIGZ_3198xTQ5y,WithSecure,https://www.youtube.com/c/WithSecure
24,iSi | Top 20 Cyber Attacks on Industrial Control Systems,https://www.youtube.com/watch?v=dpbJVOh3sb4&list=PLPp7l3aM6o22NLJ2F0R2jpuGTK3X8hp-c,Waterfall Security Solutions,https://www.youtube.com/c/WaterfallSecuritySolutions
25,Cyber Security Careers,https://www.youtube.com/watch?v=OO2ee28sIoo&list=PLjZy4fJwp5HBk_co1Ujb8YzaFzBLv8MUO,U.S. Air Force Recruiting,https://www.youtube.com/c/USAirForceRecruiting
26,Types of Cyber Attacks,https://www.youtube.com/watch?v=Epq7U6CHLqQ&list=PLpa0YLgrx27G-s4007897_k4u6ZN8mPAd,#Hackway,https://www.youtube.com/c/Hackway
27,Cyber Attack 2022 Feb,https://www.youtube.com/watch?v=-7szqPxbEug&list=PLL5m2E3dAHjtPn13f-WRVutfC9woBucCW,Dr. Ramhari Subedi,https://www.youtube.com/channel/UCMbA7yS6oLxu6U0qNbecnwQ
