S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
1,Ultimate Eminem Mix,https://www.youtube.com/watch?v=XbGs_qK2PQA&list=PL1l2ekK_5Up3ByUDejiaawH2fNLbSZIx5,coopermarc,https://www.youtube.com/user/coopermarc
2,Every Eminem Song,https://www.youtube.com/watch?v=j5-yKhDd64s&list=PL813690032BF2CE3C,C0d0ps,https://www.youtube.com/user/C0d0ps
3,Eminem old-school,https://www.youtube.com/watch?v=L2XskyOa89U&list=PLzciZrWxf0QO_L5dk16ZmRHZ7gzQLx6hf,The Weather FoX,https://www.youtube.com/channel/UCaXVk6gMM_sKzV9fcccA4Aw
4,Eminem Playlist mix 100 songs,https://www.youtube.com/watch?v=uelHwf8o7_U&list=PL7205D1BCD1905F8F,bdombrow2302,https://www.youtube.com/user/bdombrow2302
5,*Canciones de Eminem*,https://www.youtube.com/watch?v=j5-yKhDd64s&list=PLFD6D2EADB823CF3E,Rodolfo Arreola,https://www.youtube.com/user/jhovepa96
6,Presenting Eminem,https://www.youtube.com/watch?v=27Nu5X8S4fI&list=RDCLAK5uy_nnk58Y3rT4Y62vuYUvGpWGjxL9wsb10uI&start_radio=1,YouTube Music,https://www.youtube.com/music
7,Eminem's Greatest Hits,https://www.youtube.com/watch?v=okc7Vw2_p7c&list=PLf0HxqT8vJNPiv0owkBHz5aPRR3J2OMHe,Slim Shady,https://www.youtube.com/channel/UCLt51_s-4MaawdCFmktZdJw
8,Eminem 'Curtain Call 2' Album,https://www.youtube.com/watch?v=3qFvCPmee8U&list=PLRgSHCeagEV5rT7BuAXTRR70HTrPPSoqc,EminemVEVO,https://www.youtube.com/user/EminemVEVO
9,Eminem 2021 - 2022 Playlist - New Songs - Hits - All Songs - Official Videos - Eminem 2021 - 2022,https://www.youtube.com/watch?v=qleJpzB4q7A&list=PLq3UZa7STrbqLC6WYQaBj026SzLzOoA0U,Arsenio Sarmiento,https://www.youtube.com/c/ArsenioSarmiento
10,eminem's greatest hits,https://www.youtube.com/watch?v=uelHwf8o7_U&list=PL479397D4B900C7A4,Darrion Harvey,https://www.youtube.com/channel/UC72aAaOliX3KATKVNgV4NYA
11,Eminem playlist - BEST songs,https://www.youtube.com/watch?v=_Yhyp-_hX2s&list=PLMEZyDHJojxNlKL-Pk06Za-1SMlBdQEMG,Radio Golcak,https://www.youtube.com/c/Radiogolcak
12,Best Eminem Songs of All Time - Eminem Playlist 2021 (Updated Daily),https://www.youtube.com/watch?v=8CdcCD5V-d8&list=PLmNkT8scQqeyQkVrrKNyZJYq51G1Q5omX,HipHopBops,https://www.youtube.com/channel/UCMF8RdiuAkDve9UyWRAuWiw
13,All Eminem albums,https://www.youtube.com/watch?v=qM00SPx-Gao&list=PLjRCRZDSBSLQCrLamwAm9we51Xp9ZKc53,Fabian Burgos,https://www.youtube.com/channel/UC-hawTNzL082XegkTq07log
14,All Eminem Music Videos,https://www.youtube.com/watch?v=r_0JjYUe5jo&list=PLlnUv3CE5JkeQPkvO6DOdD1lRsorfH1Fo,Gene Pangindian Jr.,https://www.youtube.com/user/thejoker20091
15,Eminem - Music to be Murdered by (Full Album),https://www.youtube.com/watch?v=hlFOLS7vKaQ&list=PLaZcYAgpdq2Mt2DvCTfZwx2yA3-3c8cuq,Meto,https://www.youtube.com/c/HipHopMilitan%C4%B1HHM
16,eminem top 100 songs,https://www.youtube.com/watch?v=uelHwf8o7_U&list=PL0D2C9BB727AE0956,adathon101,https://www.youtube.com/user/adathon101
17,Eminem playlist 2019 NEW,https://www.youtube.com/watch?v=8CdcCD5V-d8&list=PL_UCDs2ps_71b0LAH8IA6K7ir2K2_AJRf,Steve Holmes,https://www.youtube.com/channel/UCgZZuMi-_gEj_V09rY75Q_Q
18,Eminem - The Eminem Show (2002) (full album),https://www.youtube.com/watch?v=P7YXsfuBlrc&list=PLJaQqb1_vqOTSj2MnNkq0_QHoTl7CoGY9,Hip Hop Albums,https://www.youtube.com/channel/UCkIzOoRVGZvsrxJJJEIBFCA
19,sad eminem songs,https://www.youtube.com/watch?v=S9bCLPwzSC0&list=PLU1-URRf6zj9uN6gMQYUsknTCbya_nWA0,nick young,https://www.youtube.com/user/nitrowolf13
20,Eminem Old school and New Era,https://www.youtube.com/watch?v=h-3CmKofKTU&list=PLZWTRnFFNVWvL1uWJUBAdX4CvL2obydY_,Fillin De Void,https://www.youtube.com/channel/UCg6V9JfcbtFHbhZT2uaEiug
21,Eminem - The Marshall Mathers LP (2000),https://www.youtube.com/watch?v=0NmsogZClfM&list=PLfHSuhQ80bIes3SC1s_mMdfcFylI9xbYq,Gabriel D. Matthews II,https://www.youtube.com/user/LilGabe504
22,Hardest Eminem Songs😈🔥,https://www.youtube.com/watch?v=65wEspjizpU&list=PLoVPD7jhJSTaO52R55D2Y3ZCOFquR9Bj5,Jorge Salgado,https://www.youtube.com/channel/UCjpBOOLqW_v7roeKjvmx5OA
23,Spited - Eminem - Highlighted Rhymes,https://www.youtube.com/watch?v=0j3DL2rfzmY&list=PLlm3FoLCMyGBLWPXSEN0Pe3Uac72F-AZc,Spited,https://www.youtube.com/c/Spited
24,Old/Rare Eminem,https://www.youtube.com/watch?v=lQ3xV2UhObY&list=PLmNN4m24yCaOs_MWL7jU-E46wYMwUoqeJ,Jonah Mackellin,https://www.youtube.com/channel/UC6FkSlsTlHUgN0nVJZ5anUA
25,Eminem Mix Lyrics,https://www.youtube.com/watch?v=sbRPGGJQao4&list=PL9QoTWYNBn5-DSA8AWkEmRf4YTBZ1bC5s,Fabricio Valente,https://www.youtube.com/c/FabricioValenteZardeck
26,EMINEM ESSENTIALS,https://www.youtube.com/watch?v=I_bBRzWzkC8&list=PL5kBsL-JWSGrtCWOw8xdbg-Qcaa8-zvZ8,Tae-joo Won,https://www.youtube.com/channel/UCZl7T1-1Ukxk4m8zX9QILiA
27,Eminem,https://www.youtube.com/watch?v=NCiAyUuczNk&list=PLS2QoqASu0MylACUEh2k7yzIxn5-Z6uW_,King KTF,https://www.youtube.com/c/KTFReactions
28,Eminem Vikings remix,https://www.youtube.com/watch?v=BXGt0DjpXYI&list=PL7iVDZnOZmANML3GS7JwHoa-gwgVPO1fb,A. Merciless Butcher,https://www.youtube.com/user/Aaron77779
29,Hardest Eminem Songs,https://www.youtube.com/watch?v=XbGs_qK2PQA&list=PLqP8X9Q-M5cpidXckTAB9KPrPpJxDISj0,Bliss Vii,https://www.youtube.com/channel/UCg7U7pYpxH2yAs1ryWha6yA
30,BEST EMINEM &amp; D12,https://www.youtube.com/watch?v=JpnTWaNsnks&list=PLLSJ3KAFNDKR7TDdUMCFtj9ss07n4Syb3,MUSIC,https://www.youtube.com/channel/UCH9e78GMAiWeCkU5VTxKEuQ
31,Eminem - The Eminem Show (20th Anniversary Expanded Edition) (Full Album - Album Completo),https://www.youtube.com/watch?v=zrhxp3dGlWk&list=PLDNtAuXIhbEPtGsBSgdZCtP1WG7z1_5QF,Brand New Music,https://www.youtube.com/channel/UCf8aSbsSWsPWoAYkqKwA8hA
32,Eminem (Instrumentals),https://www.youtube.com/watch?v=4jGgBmdGCzg&list=PL3rW1RNMa8s_oxQvtG14G_zkT5XO5WgHM,Mr. Stan,https://www.youtube.com/channel/UClwshA22EXWr61xQfq_nj5g
33,Eminem - Recovery [Full Album - Lyrics - Songs in Order],https://www.youtube.com/watch?v=zyC11nyUyjg&list=PLCIfXNQztuvtVIqzlZTMILBGeQ0EO-3pp,Sorrow Abyssal,https://www.youtube.com/channel/UCkaqAbwqoOhQ7c48iAtSmXA
