S.NO,Video Title,Video_link,Views,Uploaded,Channel Name,Channel Link
1,Eminem & Snoop Dogg - From The D 2 The LBC [Official Music Video],https://www.youtube.com/watch?v=RjrA-slMoZ4,47M views,2 months ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
2,Eminem - Rap God (Explicit),https://www.youtube.com/watch?v=XbGs_qK2PQA,1.3B views,8 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
3,Eminem Greatest Hits 2022 | TOP 100 Songs of the Weeks 2022 | Best Playlist RAP Hip Hop 2022,https://www.youtube.com/watch?v=nCTrYuss40Y,344K views,1 month ago,HIP HOP MIX 2000S 👑,https://www.youtube.com/channel/UCfubDWZ_cFf495jQ4auOFtw
4,Eminem - Venom,https://www.youtube.com/watch?v=8CdcCD5V-d8,711M views,3 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
5,Eminem Best Rap Music Playlist 2022 - Eminem Greatest Hits Full Album 2022,https://www.youtube.com/watch?v=MIJmgfdBu-8,120K views,2 months ago,HIP HOP MIX 2000S 👑,https://www.youtube.com/channel/UCfubDWZ_cFf495jQ4auOFtw
6,Eminem - Love The Way You Lie ft. Rihanna,https://www.youtube.com/watch?v=uelHwf8o7_U,2.4B views,12 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
7,Eminem - Lose Yourself [HD],https://www.youtube.com/watch?v=_Yhyp-_hX2s,1.2B views,7 years ago,msvogue23,https://www.youtube.com/c/msvogue23entertainment
8,Eminem - Not Afraid (Official Video),https://www.youtube.com/watch?v=j5-yKhDd64s,1.6B views,12 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
9,RAPPER REACTS to GAME DISS | 50 Cent - I'm Not Rich and Still Lying,https://www.youtube.com/watch?v=i0PcK5vfSM4,57K views,11 hours ago,Crypt,https://www.youtube.com/c/RageClanCOD
10,"DJ Khaled - USE THIS GOSPEL (REMIX - Official Audio) ft. Ye, Eminem",https://www.youtube.com/watch?v=Nh6DuYynq7c,1.4M views,4 days ago,DJ Khaled,https://www.youtube.com/channel/UC0Kgvj5t_c9EMWpEDWJuR1Q
11,Eminem - Cinderella Man (Lyric Video),https://www.youtube.com/watch?v=vs-Bsqt5ooQ,3.6M views,2 weeks ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
12,Eminem - Space Bound (Official Video),https://www.youtube.com/watch?v=JByDbPn6A1o,352M views,11 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
13,Eminem - Mockingbird (Official Music Video),https://www.youtube.com/watch?v=S9bCLPwzSC0,630M views,12 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
14,Eminem - Without Me (Official Music Video),https://www.youtube.com/watch?v=YVkUvmDQ3HY,1.4B views,13 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
15,Eminem - Godzilla ft. Juice WRLD (Directed by Cole Bennett),https://www.youtube.com/watch?v=r_0JjYUe5jo,511M views,2 years ago,Lyrical Lemonade,https://www.youtube.com/user/GooodLifeFilms
16,Eminem - When I'm Gone (Official Music Video),https://www.youtube.com/watch?v=1wYNFfgrXTI,921M views,13 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
17,Eminem - Till I Collapse [HD],https://www.youtube.com/watch?v=ytQ5CYE1VZw,717M views,6 years ago,msvogue23,https://www.youtube.com/c/msvogue23entertainment
18,Eminem - Beautiful (Official Music Video),https://www.youtube.com/watch?v=lgT1AidzRWM,432M views,12 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
19,Eminem - The Real Slim Shady (Official Video - Clean Version),https://www.youtube.com/watch?v=eJO5HU_7_1w,718M views,11 years ago,EminemMusic,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
