S.NO,Video Title,Video_link,Views,Uploaded,Channel Name,Channel Link
1,Sabse Bada Sawal | 2024 की लड़ाई…कांग्रेस कर पाएगी अगुवाई ? देखिए Sandeep Chaudhary के साथ LIVE,https://www.youtube.com/watch?v=XWVCFaAwl_0,198K views,Streamed 22 hours ago,News24,https://www.youtube.com/c/News24youtube
2,News24 LIVE | Jharkhand Political Crisis | CBI Raid on Manish Sisodia | Hemant Soren | Hindi News,https://www.youtube.com/watch?v=z6qO20Jx5FI,1.7K watching,NA,News24,https://www.youtube.com/c/News24youtube
3,Rashtra Ki Baat: Akhilesh Yadav क्यों बोले- UP से तय होगा 2024? Manak Gupta के साथ I News24 LIVE,https://www.youtube.com/watch?v=9oamVsrbLpc,246K views,Streamed 1 day ago,News24,https://www.youtube.com/c/News24youtube
4,"Akhilesh Yadav का Yogi सरकार पर हमला, बोले- Twin Tower की तरह 2024 में ढह जाएगी BJP सरकार...",https://www.youtube.com/watch?v=vJjodY4h8s0,556 watching,NA,News24,https://www.youtube.com/c/News24youtube
5,Rashtra Ki Baat | Congress अध्यक्ष की रेस में कूदेंगे Shashi Tharoor ? Manak Gupta I News24 LIVE,https://www.youtube.com/watch?v=fcMHIJybE2s,51K views,Streamed 8 minutes ago,News24,https://www.youtube.com/c/News24youtube
6,4 बजे 24 Reporter | Hindi News | Latest News | Top News | Today's News | News24,https://www.youtube.com/watch?v=Z7ppUHl7cYI,4.5K views,Streamed 1 hour ago,News24,https://www.youtube.com/c/News24youtube
7,Rashtra Ki Baat: फिर दिल्ली क्यों आए किसान ? Manak Gupta | Rakesh Tikait | Farmers Protest I LIVE,https://www.youtube.com/watch?v=1MjlCKmU34Q,409K views,Streamed 8 days ago,News24,https://www.youtube.com/c/News24youtube
8,"IND Vs PAK: King Kohli is Back! कोहली की पारी ने Team India को जिताया, Pakistan को रोमांचक मैच हराया",https://www.youtube.com/watch?v=hFohtnUi7cc,221K views,1 day ago,News24 Sports,https://www.youtube.com/c/News24Sports
9,Sabse Bada Sawal | बिहार की लड़ाई...भ्रष्टाचार पर आई ! देखिये Sandeep Chaudhary के साथ LIVE,https://www.youtube.com/watch?v=J5U9E18NTyk,561K views,Streamed 2 weeks ago,News24,https://www.youtube.com/c/News24youtube
10,WATCH | 'I am not fighting to stay in Alexandra' - Malema defends Ibiza partying,https://www.youtube.com/watch?v=4U9tmRUbL5s,72K views,2 days ago,News24,https://www.youtube.com/user/News24Video
11,Siasat International News 24th Aug 2022,https://www.youtube.com/watch?v=0SZQOdu1A_0,393K views,5 days ago,Siasat Daily,https://www.youtube.com/c/SiasatDailyNews
12,Rashtra Ki Baat : 24 में Modi के सामने कौन | Kejriwal | Mamata Banerjee | Nitish | Manak Gupta,https://www.youtube.com/watch?v=QdPdaGXiMzs,315K views,Streamed 9 days ago,News24,https://www.youtube.com/c/News24youtube
13,2 PM News Bulletin | 26 Aug 2022 | Ghulam Nabi Azad Quits Congress | Hindi News || News24,https://www.youtube.com/watch?v=SFg3b2IKFyk,16K views,Streamed 4 days ago,News24,https://www.youtube.com/c/News24youtube
14,देखिये News 24 टीम के साथ सपा सुप्रीमो Akhilesh Yadav EXCLUSIVE I News24 LIVE,https://www.youtube.com/watch?v=rVKNe2HU4Vw,215K views,Streamed 2 days ago,News24,https://www.youtube.com/c/News24youtube
15,"Bihar: Tejashwi Yadav की चेतावनी; कहा- ADM ने क्यों उठाई लाठी?, कार्रवाई होगी",https://www.youtube.com/watch?v=jGc_-tOx04Y,1.9M views,7 days ago,News24,https://www.youtube.com/c/News24youtube
16,आज गिराया जाएगा भ्रष्टाचार का TOWER ! क्यों हुआ…कैसे हुआ…क्या बच सकता था TWIN TOWER ?,https://www.youtube.com/watch?v=vygku4uf8Kk,13K views,Streamed 2 days ago,News24,https://www.youtube.com/c/News24youtube
17,"Tejashwi Yadav का Vidhan Sabha में बहुमत साबित करने से पहले भाषण, BJP ने घेरा...",https://www.youtube.com/watch?v=ngkZtN8VrXA,354K views,Streamed 5 days ago,News24,https://www.youtube.com/c/News24youtube
18,Sabse Bada Sawal | रोहिंग्या की लड़ाई राष्ट्रीय सुरक्षा पर आई? | Sandeep Chaudhari,https://www.youtube.com/watch?v=c5iWjRwj9rg,161K views,Streamed 11 days ago,News24,https://www.youtube.com/c/News24youtube
19,Noida Twin Tower Demolition LIVE | Supertech का अवैध Twin Tower ध्वस्त | गिर गया Noida का Twin Tower,https://www.youtube.com/watch?v=Ay1g7DL07Sk,61K views,Streamed 1 day ago,News24,https://www.youtube.com/c/News24youtube
20,Rashtra Ki Baat | PM Modi के सामने टिक पाएंगे Nitish Kumar ? Manak Gupta I News24 LIVE,https://www.youtube.com/watch?v=mF_ouXWb3OU,392K views,Streamed 2 weeks ago,News24,https://www.youtube.com/c/News24youtube
