S.NO,Video Title,Video_link,Views,Uploaded,Channel Name,Channel Link
1,Thor vs Odin - Odin Takes Thor's Power (Scene) Movie CLIP HD,https://www.youtube.com/watch?v=_IfYZZDTays,38M views,5 years ago,TopMovieClips,https://www.youtube.com/channel/UClVbhSLxwws-KSsPKz135bw
2,What is the Odin Force in Marvel Universe | Explained In Hindi,https://www.youtube.com/watch?v=MjbVt4K1Q9c,934K views,4 years ago,Superhero Comics,https://www.youtube.com/c/SuperheroComics
3,Exploring Norse Mythology: Odin,https://www.youtube.com/watch?v=bHZVwmiWPNM,1.3M views,4 years ago,The Exploring Series,https://www.youtube.com/c/TheExploringSeries
4,How to Install/Flash Samsung Stock Rom/Official Firmware using Odin | Complete Guide,https://www.youtube.com/watch?v=-wElvfTIDDE,1.1M views,6 years ago,DroidTechKnow,https://www.youtube.com/c/DroidTechKnow
5,What if ? || Odin💢 attitude🔥 [Odin Save Avengers From Thanos] Whatsapp status 💯💯 #shorts,https://www.youtube.com/shorts/sZzL_GhWQrI,1.3M views,6 months ago,Legendary,https://www.youtube.com/channel/UCh2tBjdk_-Tjra4eA5QyjoQ
6,What is Odin's Plan? - God of War: Ragnarok Theory,https://www.youtube.com/watch?v=A66stj1ge_k,31K views,2 days ago,Xevnir,https://www.youtube.com/c/Xevnir
7,Odin - All Powers and Abilities from the MCU,https://www.youtube.com/watch?v=_rpVKIIfu5c,799K views,2 years ago,Jotham,https://www.youtube.com/channel/UCogSZ6ZS5cbnaMkUw-UtA9Q
8,Asgardians vs Frost Giants - Opening Scene - Thor (2011) Movie CLIP HD,https://www.youtube.com/watch?v=J01AVlnHjeM,12M views,4 years ago,TopMovieClips,https://www.youtube.com/channel/UClVbhSLxwws-KSsPKz135bw
9,Odin Vs Zeus | Battle Comparison | Asgardian God Vs Olympian God | In Hindi | BNN Review,https://www.youtube.com/watch?v=kcNshY-w9wo,479K views,2 months ago,BNN Review,https://www.youtube.com/c/BNNReview
10,How thor knew that he is Loki not Odin? #shorts #marvel #mcu #rsrecall #mcushorts #thor,https://www.youtube.com/shorts/JKuvcRlqoUw,388K views,1 day ago,RS Recall Shorts,https://www.youtube.com/c/RSRecall
11,ROMELL HENRY REACTS TO Jay Swingler - Odin Music Video,https://www.youtube.com/watch?v=JyqqieR2-5M,118K views,5 months ago,Romell Henry,https://www.youtube.com/channel/UCoBWkLSzC5q8xOtOHwv6MGQ
12,shotguns are cringe? use odin.,https://www.youtube.com/watch?v=AlYy_jDr2IE,424K views,10 months ago,Quarkwy,https://www.youtube.com/c/Quarkwy
13,HISTORY OF ODIN : God Of War | N HINDI,https://www.youtube.com/watch?v=BnxdR_vuTlo,66K views,11 months ago,Gaming Generation,https://www.youtube.com/c/GamingGeneration
14,ODIN vs ZEUS Battle Comparison (COMICS),https://www.youtube.com/shorts/up_sLM0TP0o,153K views,2 months ago,INFINITY CLASH,https://www.youtube.com/channel/UClKLkPFQIksU3LKz4YBgMXg
15,Odin’s children being chaotic for 4 minutes,https://www.youtube.com/watch?v=xag8qYqOqts,1.7M views,1 year ago,InfinityStar,https://www.youtube.com/c/InfinityStar3000
16,SKÁLD - Ódinn (Lyric Video),https://www.youtube.com/watch?v=3R7B6kj6Fd8,8.4M views,4 years ago,SKÁLD,https://www.youtube.com/channel/UCP3jOuRoL7wiz9mRG-7g2-A
17,Norse Mythology -The Tale of Odin,https://www.youtube.com/watch?v=rrMTqEbE8Oo,162K views,5 years ago,Tarvaa The Bard,https://www.youtube.com/channel/UCX1JlHTohdyl74UpmbW1y3w
18,Vikings - Odin Visits Ragnar's Sons [Season 4B Official Scene] (4x16) [HD],https://www.youtube.com/watch?v=wqOukX1roHQ,4.5M views,5 years ago,Vikinger,https://www.youtube.com/c/VikingerOnYT
19,Did You Know This About the Children of Odin ।। #thorragnarok #marvel #thor #marvelstudios #shorts,https://www.youtube.com/shorts/b6B7xENRqpk,48K views,1 day ago,mohit explained,https://www.youtube.com/c/mohitexplained
20,JAY SWINGLER - ODIN (MUSIC VIDEO),https://www.youtube.com/watch?v=-aqdpjRPK3Y,851K views,5 months ago,TGF,https://www.youtube.com/c/TGFbro
21,Darkseid vs Odin,https://www.youtube.com/shorts/o4oJwrxDi1Y,33K views,6 days ago,MrKillerEdits,https://www.youtube.com/channel/UCAcpdaex86DY51QoFkH6DSw
22,Thor Vs Frost Giants | Odin comes to rescue Thor | Short Clip from movie THOR,https://www.youtube.com/watch?v=hd5C-Uc9Tao,11M views,1 year ago,GlobalMovieClips,https://www.youtube.com/channel/UCxZb7aqngdCrYYyCSXfxwpw
23,The Norse Gods: Odin,https://www.youtube.com/watch?v=VlGJNNGB6lY,43K views,1 year ago,The Wisdom Of Odin,https://www.youtube.com/c/TheWisdomOfOdin
24,Odin Vs Zeus | Battle Comparison | Asgardian God Vs Olympian God | In Hindi | BNN Review,https://www.youtube.com/watch?v=kcNshY-w9wo,479K views,2 months ago,BNN Review,https://www.youtube.com/c/BNNReview
25,This Handheld Has A Lot Of Potential .. AYN Odin It's Awesome ! 👌,https://www.youtube.com/watch?v=7Yi1qFdLzKg,No views,10 minutes ago,Wicked Portable Gaming,https://www.youtube.com/channel/UCxNratikLqAn8x8lUqjs4EA
26,"The Messed Up Origins of Odin, the Allfather | Norse Mythology Explained - Jon Solo",https://www.youtube.com/watch?v=5R0iYe_pSPY,533K views,1 year ago,Jon Solo,https://www.youtube.com/c/JonSolo
27,How Powerful is Odin Compared to Thor and Loki?,https://www.youtube.com/watch?v=jtLsU16d10s,488K views,2 years ago,CBR,https://www.youtube.com/user/comicbookresources
28,Odin's Death Scene - Thor Ragnarok,https://www.youtube.com/watch?v=WM_VlwScjwo,348K views,3 years ago,Epic Movie Clips,https://www.youtube.com/c/EpicMovieClips
29,"MAJOR RELIGIONS OF THE WORLD (विश्व के प्रमुख धर्मों का इतिहास और उनका दर्शन)
Norse Mythology - The Real story of Thor, Odin & Loki || उत्तरी यूरोप की पौराणिक कथाएं",https://www.youtube.com/watch?v=X0T_IXK2Q58,43K views,1 year ago,Success Plus Academy,https://www.youtube.com/c/SuccessPlusAcademy
30,"@exotic french bulldogs @bluefawn Odin, #lilacbrindle Börü",https://www.youtube.com/watch?v=ZOxSJxUkS-s,2 views,1 hour ago,:,https://www.youtube.com/channel/UCfvUUu-Q6543xPub3e49ckA
31,Is that Odin in God of War Ragnarok?! #godofwar #norse #odin #loki #shorts,https://www.youtube.com/shorts/-7gRL4a09KM,95K views,6 days ago,IGN,https://www.youtube.com/c/IGN
